I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
2953		1912	5	23	2	24	  6.0	25	 8.0		 8.0					9	MYANMAR (BURMA)		MYANMAR (BURMA):  MANDALAY, MOGOK, MAYMYO	  21.000	   97.000	60		1						3																
2954		1912	7	24	11	50	    	30	 7.0		 7.0					10	PERU		PERU:  HUANCABAMBA,CAJAMARCA; ECUADOR:  GUAYAQUIL	  -5.620	  -80.413	160		3				3		3		3				3				3		3		3		
2955	Tsu	1912	8	9	1	29		60	 7.8						 7.8		TURKEY		TURKEY:  MARMARA SEA	  40.500	   27.200	140	    3000	4			      1575	4		4	5540	4			    3000	4			1575	4		4	5540	4		
2963		1912	9	29	20	51		50	 7.5	 7.5	 7.5						MICRONESIA, FED. STATES OF		MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	   7.000	  138.000	170																								
2964		1912	11	7	7	40	    	90	 7.5						 7.5	5	USA	AK	ALASKA:  ALASKA PENINSULA	  57.500	 -155.000	150																								
2966		1912	11	19	13	18	    		 7.8						 7.8		MEXICO		MEXICO:  CENTRAL, ACAMBAY, TIXMADEJE	  19.900	  -99.800	150								3																
2967		1912	12	7	22	46	 50.0	620	 7.5		 7.5						ARGENTINA		ARGENTINA:   SANTIAGO DEL ESTERO PROVINCE	 -29.000	  -62.500	160																								
2969		1913	1	19	23	48	    	120	 7.5						 7.5		RUSSIA		RUSSIA:  KURIL ISLANDS	  46.000	  152.000	50								1																
2970		1913	2	24	2	30	    	50	 7.7						 7.7	7	ECUADOR		ECUADOR:  GONZANAMA, SAN PEDRO, MOLLETURE	  -3.400	  -79.600	160		3						3		3				3						3		3		
2973	Tsu	1913	3	14	8	45	  4.3	15	 7.8	 7.8	 7.9	 7.7				9	INDONESIA		INDONESIA:  SANGIHE ISLAND	   5.354	  126.121	170	     138	3				2		2		3			     138	3				2		2		3		
2975		1913	4	25	17	56	    	60	 7.7						 7.7		PHILIPPINES		PHILIPPINES	   9.500	  127.800	170																								
2976		1913	5	30	11	46	    	60	 7.5						 7.5		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  SOLOMON ISLANDS	  -5.000	  154.000	170																								
2982		1913	6	26	4	57	  1.0	33	 7.6		 7.6						TONGA		TONGA ISLANDS	 -20.000	 -174.000	170																								
6260	Tsu	1913	7	28	6	40		30	 7.0		 7.0					9	PERU		PERU:  AREQUIPA	 -16.600	  -73.300	160								1												1				
2985		1913	8	1	17	10	    	60	 7.7						 7.7		RUSSIA		RUSSIA:  KURIL ISLANDS	  47.500	  155.500	50																								
2987	Tsu	1913	8	6	22	14	 24.0	33	 7.9		 7.9					10	PERU		PERU:  CARAVELI, CHUQUIBAMBA, OCONA, ATICO	 -17.000	  -74.000	160		2						3		3		3		2						3		3		3
6261	Tsu	1913	10	11	4	6	  3.0	33	 7.0		 7.0						PAPUA NEW GUINEA		PAPUA NEW GUINEA	  -7.000	  148.000	170																								
2989		1913	10	14	8	8	 48.0	230	 8.1		 8.1						VANUATU		VANUATU ISLANDS	 -19.500	  169.000	170																								
2992		1913	11	10	21	12	    	80	 7.5						 7.5		VANUATU		VANUATU ISLANDS	 -18.000	  169.000	170																								
2993		1913	12	21	15	37	 38.0	10	 7.0		 7.0					9	CHINA		CHINA:  YUNNAN PROVINCE	  24.150	  102.450	30	     942	3			       112	3		3		4			     942	3			112	3		3		4		
2994	Tsu	1914	1	12					 7.1		 7.1						JAPAN		JAPAN:  SAKURIJIMA	  31.580	  130.670	30	      29	1						1	120	3			      63	1			112	3	      19.000	3	2268	4		
2997		1914	1	30	3	35	 50.0	33	 7.6		 7.6						CHILE		CHILE:  OFF CENTRAL COAST	 -35.000	  -73.000	160																								
6578	Tsu	1914	2	26	4	58	 12.0	130	 7.2		 7.2						PERU		PERU:  AREQUIPA	 -17.000	  -72.000	160																								
2999		1914	3	15	20	0	  6.0	33	 7.2		 7.2						JAPAN		JAPAN:  SENHOKU	  39.200	  139.800	30	      94	2						3	640	3			      94	2						3	640	3		
3001		1914	3	30	0	41	    	150	 7.5						 7.5		MEXICO		MEXICO:  CHIAPAS	  16.800	  -92.200	150																								
3005	Tsu	1914	5	26	14	22	 47.7	15	 8.1	 8.1	 8.0	 7.3				9	INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA:  JAPEN	  -1.829	  136.943	170		3						2		3				3						2		3		
3010	Tsu	1914	6	25	19	7	 25.9	35	 7.6	 7.6	 7.6	 7.6					INDONESIA		INDONESIA:  SUMATERA	  -3.924	  101.820	170	      20	1			        20	1		1		1			      20	1			20	1		1		1		
3012		1914	8	4	22	41	  6.0		 7.5		 7.5					8	CHINA		CHINA:  XINJIANG WEIWUER ZIZHIQU PROVINCE(SINKIANG)	  43.500	   91.500	40	       1	1						1		2			       1	1						1		2		
3016		1914	10	3	22	6	 34.0		 7.0		 7.0					9	TURKEY		TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA	  37.820	   30.270	140	    4000	4			       700	3		4	17000	4			    4000	4			700	3		4	17000	4		
3019		1914	10	23	6	18	 34.0	60	 7.6	 7.6	 7.6						PALAU		MICRONESIA, FED. STATES OF:  CAROLINE ISLANDS	   6.000	  132.500	170																								
3020		1914	11	24	11	53	 30.0	110	 8.1		 8.1	 7.9					JAPAN		JAPAN:  VOLCANO ISLANDS	  22.000	  143.000	30																								
3025		1915	1	13	6	52	 38.0	10	 7.5		 7.5					11	ITALY		ITALY:  MARSICA, AVEZZANO, ABRUZZI	  42.000	   13.500	130	   29978	4					      60.000	4					   29978	4					      60.000	4				
3028		1915	2	28	18	59	    	60	 7.7						 7.7		JAPAN		JAPAN:  SW RYUKYU ISLANDS	  23.600	  123.500	30																								
3029		1915	5	1	5	0	    	25	 8.1		 8.1						RUSSIA		RUSSIA:  KURIL ISLANDS	  47.000	  155.000	50																								
3032		1915	6	6	21	29	    	160	 7.6						 7.6		PERU		PERU:  S	 -18.500	  -68.500	160																								
3034		1915	7	31	1	31	 23.0	20	 7.3		 7.3					10	RUSSIA		RUSSIA:  OFF KAMCHATKA	  53.500	  163.300	50																								
3037	Tsu	1915	9	7	1	20	 48.0	80	 7.9						 7.9		GUATEMALA		GUATEMALA	  14.000	  -89.000	100																								
3038		1915	10	3	6	52	 48.0		 7.6		 7.6	 7.3			 7.7	10	USA	NV	NEVADA:  PLEASANT VALLEY	  40.500	 -117.500	150								1												1				
3041	Tsu	1915	11	1	7	23	 43.0	60	 7.8		 7.8						JAPAN		JAPAN:  NEAR E COAST HONSHU	  38.300	  142.900	30								1												1				
7995		1915	12	3	2	39	 19.0		 7.0		 7.0					9	CHINA		CHINA:  TIBET (XIZANG PROVINCE)	  29.500	   91.500	40	     170	3						2		3			     170	3						2		3		
3043	Tsu	1916	1	1	13	20	 49.3	35	 7.9	 7.9	 7.8	 7.4					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  SOLOMON ISLANDS	  -4.739	  152.548	170								1		1										1		1		1
3046		1916	1	13	6	18	 16.0	30	 8.1		 8.1						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -3.000	  136.000	170																								
3047		1916	1	13	8	20	 48.0	16	 8.1		 8.1						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -3.000	  135.500	170																								
3049		1916	1	24	6	55	  7.0	33	 7.8		 7.8				 7.8		TURKEY		TURKEY	  41.000	   37.000	140																								
3050		1916	2	1	7	36	 22.0	33	 8.0		 8.0						JAPAN		JAPAN:  DUDA	  29.500	  131.500	30																								
3051		1916	2	6	21	51	    	60	 7.7						 7.7		USA	AK	ALASKA:  ALEUTIAN ISLANDS	  48.500	  178.500	150																								
3052		1916	2	27	20	20	 36.0	60	 7.5		 7.5						NICARAGUA		NICARAGUA:  OFF COAST	  11.000	  -86.000	100																								
3053		1916	4	18	4	1	    	170	 7.5						 7.5		USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  53.300	 -170.000	150																								
3054		1916	4	21	11	31	    	60	 7.8						 7.8		JAPAN		JAPAN:  OFF EAST COAST HONSHU	  33.000	  141.000	30																								
3055		1916	4	24	4	26	 42.0	80	 7.2		 7.2					9	DOMINICAN REPUBLIC		DOMINICAN REPUBLIC:  SANTO DOMINIGO	  18.500	  -68.000	90								1												1				
3056	Tsu	1916	4	26	2	21	 52.0	25	 7.0		 7.0					9	PANAMA		PANAMA:  ALMIRANTE, BOCAS DEL TORO	   9.600	  -82.000	90							        .025	1											        .025	1				
3057		1916	6	21	21	32	    	600	 7.5						 7.5		ARGENTINA		ARGENTINA	 -28.500	  -63.000	160																								
3058		1916	8	3	1	30	    	60	 7.5						 7.5		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  N COAST	  -4.000	  144.500	170																								
3059		1916	8	25	9	44	 42.0	180	 7.5		 7.5	 7.0					BOLIVIA		BOLIVIA-NORTHERN CHILE	 -21.000	  -68.000	160																								
3060		1916	8	28	6	39	 29.0	33	 7.7		 7.7						NEPAL		NEPAL; TIBET (XIZANG PROVINCE)	  30.000	   81.000	60																								
3064		1916	9	11	6	36	 30.0	100	 7.3		 7.3						INDONESIA		INDONESIA	  -9.000	  113.000	170								3	340	3										3	340	3		
3066		1916	10	31	15	30	    	60	 7.7						 7.7		RUSSIA		RUSSIA:  KURIL ISLANDS	  46.500	  160.000	50																								
3076	Tsu	1917	1	30	2	45	 36.0	40	 7.8		 7.8						RUSSIA		RUSSIA:  KAMCHATKA	  56.500	  163.000	50																								
3081	Tsu	1917	5	1	18	26			 8.0		 8.0						KERMADEC ISLANDS (NEW ZEALAND)		KERMADEC ISLANDS	 -29.200	 -177.000	170																								
3083		1917	5	31	8	47			 7.9		 7.9					5	USA	AK	ALASKA:  ALASKA PENINSULA	  54.790	 -169.120	150																								
3087	Tsu	1917	6	26	5	49	 42.0	25	 8.3		 8.3						SAMOA		SAMOA ISLANDS	 -15.500	 -173.000	170								1												2				
3088		1917	7	4	0	38	 20.0	60	 7.7		 7.7						TAIWAN		TAIWAN:  NE OF TAIWAN	  25.000	  123.000	30																								
3089	Tsu	1917	7	29	21	52	  6.0		 7.7		 7.7						PAPUA NEW GUINEA		PAPUA NEW GUINEA	  -3.000	  143.500	170																								
3091		1917	7	31	3	23	 10.0	460	 7.5		 7.5						CHINA		CHINA:  JILIN PROVINCE	  42.500	  131.000	30																								
3094		1917	8	30	4	7	 15.0	100	 7.8		 7.8						INDONESIA		INDONESIA:  BANDA SEA	  -7.500	  128.000	170																								
3095		1917	8	31	11	36	 18.0	40	 7.3		 7.3					8	COLOMBIA		COLOMBIA:  BOGOTA, UBAQUE, SOACHA, CAQUEZA	   4.000	  -74.000	160	       6	1				2		1		1			       3	1				2		1		1		
3099	Tsu	1917	11	16	3	19	 28.0	60	 7.5						 7.5		KERMADEC ISLANDS (NEW ZEALAND)		KERMADEC ISLANDS:  S OF	 -29.000	 -177.500	170																								
3102		1917	12	29	22	50	 20.0	33	 7.7		 7.7						MEXICO		MEXICO:  NEAR OAXACA COAST	  15.000	  -97.000	150																								
3106		1918	1	30	21	18	 33.0	350	 7.7						 7.7		RUSSIA		RUSSIA:  E COAST OF	  45.400	  136.500	50																								
3109		1918	2	7	5	20	 30.0	120	 7.5		 7.5					7	PHILIPPINES		PHILIPPINES:  MINDANAO	   6.500	  126.500	170																								
3110	Tsu	1918	2	13	6	7	 13.0	23	 7.3		 7.3					10	CHINA		CHINA:  GUANGDONG PROVINCE	  23.500	  117.200	30	    2000	4				4		4		4			    2000	4				4		4		4		
3112	Tsu	1918	5	20	17	55	 10.0	80	 7.9		 7.9						CHILE		CHILE:  NORTHERN	 -28.500	  -71.500	160																								
3114		1918	7	3	6	52	    	60	 7.5						 7.5		PAPUA NEW GUINEA		PAPUA NEW GUINEA:  N COAST	  -3.500	  142.500	170																								
3115		1918	7	8	10	22	  7.0	60	 7.6		 7.6						BANGLADESH		BANGLADESH:  SRIMANGAL	  24.500	   91.000	60								2												2				
3116	Tsu	1918	8	15	12	18	 12.0	33	 8.3		 8.3					10	PHILIPPINES		PHILIPPINES:  MINDANAO:  COTABATO	   5.500	  123.000	170	      46	1						3					      52	2						3				
3118	Tsu	1918	9	7	17	16		33	 8.3		 8.3						RUSSIA		RUSSIA:  KURIL ISLANDS	  45.500	  151.500	50													      23	1			7	1		2		2	19	1
3124	Tsu	1918	10	11	14	14		60	 7.3	 7.3					 7.5	9	USA TERRITORY	PR	PUERTO RICO:  MONA PASSAGE	  18.500	  -67.500	90		3					       4.000	2					     144	3	100	2			       4.000	2				
3125	Tsu	1918	11	8	4	38		25	 7.8		 7.8						RUSSIA		RUSSIA:  KURIL ISLANDS	  44.500	  151.500	50																								
3128		1918	11	18	18	41	 55.0	190	 8.1		 8.1						INDONESIA		INDONESIA:  BANDA SEA	  -7.000	  129.000	170																								
3129	Tsu	1918	12	4	11	47	 48.0		 7.8		 7.8						CHILE		CHILE:  COPIAPO	 -26.000	  -71.000	160		1						3		3				1						3		3		
6580	Tsu	1919	1	1	1	33	 42.0	33	 7.4		 7.4					7	PHILIPPINES		PHILIPPINES:  MINDANAO ISLAND	   8.000	  126.000	170																								
3133	Tsu	1919	1	1	2	59	 57.0	180	 8.3		 8.3						FIJI		FIJI ISLANDS	 -19.500	 -176.500	170																								
3136	Tsu	1919	4	30	7	17	 17.3	25	 8.1	 8.1	 8.2	 7.7					TONGA		TONGA ISLANDS	 -18.352	 -172.515	170								1																
3137		1919	5	3	0	52	    	60	 7.6						 7.6		JAPAN		JAPAN:  OFF EAST COAST HONSHU	  40.500	  145.500	30																								
3140	Tsu	1919	5	6	19	41	 14.3	35	 7.8	 7.8	 7.9	 7.6					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  SOLOMON ISLANDS	  -4.852	  153.714	170								1				1								1				1
3148		1920	1	3	21	48	  3.0		 7.8		 7.8					10	MEXICO		MEXICO:  VERACRUZ: COZAUTLAN, PUEBLA: PATLANALA	  19.260	  -96.970	150	     648	3			       167	3		2					     648	3			167	3		2				
3150	Tsu	1920	2	2	11	22	 18.0	60	 7.7		 7.7						PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -6.500	  150.000	170								1		1										1		1		
3154		1920	6	5	4	21	 28.0		 8.0		 8.0						TAIWAN		TAIWAN	  23.500	  122.700	30	       5	1			        20	1		2	273	3			       5	1			20	1		2	273	3		
6273	Tsu	1920	8	20	16	15	 38.0	15	 7.0		 7.0						CHILE		CHILE:  OFF COAST CENTRAL	 -38.000	  -73.500	160								2		2		2								2		2		2
3162	Tsu	1920	9	20	14	39		35	 7.8	 7.8	 7.9						NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	 -19.919	  168.530	170																				1				
3165	Tsu	1920	12	16	12	5	 54.7	25	 8.3	 8.3	 8.6					12	CHINA		CHINA:  GANSU PROVINCE, SHANXI PROVINCE	  36.601	  105.317	30	  200000	4					      25.000	4					  200000	4					      25.000	4				
3170		1921	2	4	8	22	 44.0	120	 7.5						 7.5		GUATEMALA		GUATEMALA	  15.000	  -91.000	100																								
3172		1921	4	30	11	4	    		 7.7						 7.7		MEXICO		MEXICO:  NEAR COAST OF JALISCO	  19.700	 -104.300	150																								
3175	Tsu	1921	9	11	4	1	 38.0		 7.5		 7.5						INDONESIA		INDONESIA:  S OF JAVA	 -11.000	  111.000	170								1												1				
3180	Tsu	1921	11	11	18	36	  8.0	60	 7.5		 7.5					7	PHILIPPINES		PHILIPPINES:  MINDANAO:  E	   8.000	  127.000	170								1				2								1				2
3181		1921	11	15	20	36	    	215	 7.8						 7.8		AFGHANISTAN		AFGHANISTAN:  HINDU KUSH	  36.500	   70.500	40																								
3184		1921	12	18	15	29	    	650	 7.6						 7.6		PERU		PERU	  -2.500	  -71.000	160																								
6582	Tsu	1922	1	6	14	11	  2.0	33	 7.2		 7.2						PERU		PERU	 -16.500	  -73.000	160																				2		3		2
3186		1922	1	16	22	50	 24.0	600	 7.6		 7.6						COLOMBIA		COLOMBIA:  CAQUETA, PUTUMAYO	   2.500	  -71.000	160																								
3187		1922	1	17	3	50	 33.0	650	 7.6		 7.6						PERU		PERU	  -2.500	  -71.000	160																								
7461	Tsu	1922	1	19	21	58	 50.0		 7.5		 7.5						PAPUA NEW GUINEA		PAPUA NEW GUINEA:  BISMARCK SEA	  -7.000	  143.000	170								1		1										1		1		
3189		1922	1	31	13	17	    		 7.6						 7.6		USA	CA	CALIFORNIA:  NORTHERN	  41.000	 -125.500	150								1																
3198	Tsu	1922	9	1	19	16	  6.0		 7.6		 7.6						TAIWAN		TAIWAN	  24.500	  122.000	30	       5	1			         7	1		2	139	3			       5	1			7	1		2	139	3		
3200		1922	10	11	14	49	 50.0		 7.4		 7.4					7	PERU		PERU:  CARAVELI	 -16.000	  -72.500	160								2		3		2								2		3		2
3201		1922	10	24	21	21	    	90	 7.5						 7.5		RUSSIA		RUSSIA:  KURIL ISLANDS	  47.000	  151.800	50								1																
3202	Tsu	1922	11	11	4	32	 36.0	35	 8.7	 8.7	 8.3					11	CHILE		CHILE:  ATACAMA	 -28.553	  -70.755	160	     500	3						3		3			     700	3						3		3		
3205		1922	12	6	13	55	    	230	 7.5						 7.5		AFGHANISTAN		AFGHANISTAN:  HINDU KUSH	  36.500	   70.500	40																								
6280	Tsu	1923	1	22	9	4	 18.0		 7.2		 7.2		6.5			8	USA	CA	CALIFORNIA:  NORTHERN	  40.800	 -124.500	150								1												1				
3212	Tsu	1923	2	3	16	1	 41.0	19	 8.3	 8.3	 8.3					11	RUSSIA		RUSSIA:  KAMCHATKA	  54.000	  161.000	50								1		1			       3	1					       1.500	2		2		
3215		1923	2	24	7	34	    	20	 7.7						 7.7		RUSSIA		RUSSIA:  KAMCHATKA PENINSULA	  55.000	  162.400	50								1																
6281	Tsu	1923	3	2	16	48	 52.0	22	 7.2		 7.2					7	PHILIPPINES		PHILIPPINES:  MINDANAO IsLAND	   6.500	  124.000	170																								
3218		1923	3	24	12	40	  6.0	13	 7.3		 7.3					10	CHINA		CHINA:  SICHUAN PROVINCE	  31.500	  101.000	30	    4800	4						3		4			    4800	4						3		4		
3219	Tsu	1923	4	13	15	31	  2.0	20	 7.2		 7.2					10	RUSSIA		RUSSIA:  NEAR KAMCHATKA	  56.500	  162.500	50								2		2			      18	1	400	3				3		3		
6283	Tsu	1923	5	4	22	26	 45.0	60	 7.0		 7.0	 6.7					CHILE		CHILE:  VALLENAR	 -28.750	  -71.750	160								2		2		2								2		2		2
3227	Tsu	1923	9	1	2	58	 37.0	35	 7.9	 7.9	 7.9						JAPAN		JAPAN:  TOKYO, YOKOHAMA	  35.100	  139.500	30	  142807	4	43476	4	     47000	4	     600.000	4					  142807	4	43476	4	47000	4	     600.000	4	695000	4		
3229	Tsu	1923	9	2	2	46	 40.0	20	 7.7		 7.7						JAPAN		JAPAN:  NEAR S COAST HONSHU	  34.900	  140.200	30																								
3235		1923	10	7	3	29	 34.0		 7.5		 7.5						INDONESIA		INDONESIA:  DJAILOLO GILOLO	  -1.750	  128.750	170																								
6286	Tsu	1923	11	2	21	8	  6.0	50	 7.2		 7.2						PAPUA NEW GUINEA		PAPUA NEW GUINEA:   BISMARCK ARCHIPELAGO	  -4.500	  151.500	170																								
6287	Tsu	1923	11	4	0	4	 30.0		 7.2		 7.2						PAPUA NEW GUINEA		PAPUA NEW GUINEA:   BISMARCK ARCHIPELAGO	  -5.000	  152.000	170																								
6290	Tsu	1924	4	14	16	20	 23.0	33	 8.3		 8.3					9	PHILIPPINES		PHILIPPINES: E MINDANAO: MATI,SURIGA	   6.500	  126.500	170								3		3										3		3		
3247	Tsu	1924	6	26	1	37	 34.0		 7.8		 7.8						AUSTRALIA	TAS	AUSTRALIA:  MACQUARIE ISLAND	 -56.000	  157.500	170																								
3248		1924	6	30	15	44	 25.8	120	 7.6		 7.6	 7.2					RUSSIA		RUSSIA:  KURIL ISLANDS	  44.737	  147.416	50																								
7997		1924	7	3	4	40	 10.0	33	 7.3		 7.3						CHINA		CHINA: XINJIANG	  36.800	   83.800	40	     100	2						2		2			     100	2						2		2		
3249		1924	7	24	4	55	    	50	 7.5						 7.5		AUSTRALIA	TAS	AUSTRALIA:  MACQUARIE ISLAND:  NORTH OF	 -49.500	  159.000	170																								
3250	Tsu	1924	8	30	3	4	 57.0	33	 7.3		 7.3					9	PHILIPPINES		PHILIPPINES:  MINDANAO:  SURIGAO,BUTUAN	   8.500	  126.500	170								2		2										2		2		
3261		1925	3	16	14	42	 12.0	26	 7.0		 7.0						CHINA		CHINA:  YUNNAN PROVINCE:  TALIFU	  25.700	  100.400	30	    5000	4				4		4		4			    5000	4				4		4		4		
3263		1925	3	22	8	41	    	50	 7.6						 7.6		VANUATU		VANUATU ISLANDS	 -18.500	  168.500	170																								
6543	Tsu	1925	5	15	11	56	 57.0	50	 7.1		 7.1						CHILE		CHILE:  NORTHERN	 -26.000	  -71.500	160																								
3277		1925	10	13	17	40	    	60	 7.5						 7.5		ATLANTIC OCEAN		NORTH ATLANTIC RIDGE	  11.000	  -42.000	70																								
3279	Tsu	1925	11	13	12	14	 45.0	22	 7.3		 7.3					9	PHILIPPINES		PHILIPPINES:  SAMAR I,  LAOANG I, BATAG I	  13.000	  125.000	170						3		2		3				2				3		2		3		
6317	Tsu	1925	11	16	11	54	 54.0	80	 7.0		 7.0						MEXICO		S. MEXICO	  18.500	 -107.000	150																				2				
3284		1926	4	12	8	32	    	60	 7.5						 7.5		SOLOMON ISLANDS		SOLOMON ISLANDS	 -10.000	  161.000	170																								
3288		1926	6	26	19	46	 34.0	100	 7.9		 7.9					11	GREECE		GREECE:  RHODES ISLAND; LOWER EGYPT	  36.500	   27.500	130		2						3						2						3				
3292		1926	6	29	14	27	    	130	 7.5						 7.5		JAPAN		JAPAN:  RYUKYU ISLANDS	  27.000	  127.000	30																								
3294		1926	10	3	19	38	    	50	 7.9						 7.9		AUSTRALIA	TAS	AUSTRALIA:  MACQUARIE ISLAND:  NORTH OF	 -49.000	  161.000	170																								
3297		1926	10	26	3	44	 41.0		 7.9		 7.9						INDONESIA		INDONESIA:  NEW GUINEA:  IRIAN JAYA	  -3.500	  138.500	170																								
3298		1926	11	5	7	55	    	135	 7.0						 7.0		NICARAGUA		NICARAGUA:  MANAGUA,GRANADA,MASAYA,CHINANDEGA	  12.300	  -85.800	100								3																
3306	Tsu	1927	3	7	9	27		10	 7.3		 7.3						JAPAN		JAPAN:  HONSHU:  SW	  35.600	  135.100	30	    3022	4			      3295	4	      40.000	4	15594	4	9821	4	    3022	4			3295	4	      40.000	4	15594	4	9821	4
3315		1927	5	22	22	32	 42.0	27	 7.6	 7.6	 8.3					11	CHINA		CHINA:  GANSU PROVINCE	  36.750	  102.000	30	   40912	4			       524	3		4	26674	4			   40912	4			524	3		4	26674	4		
3321		1927	7	1	8	19	  4.0	120	 7.3		 7.3					10	GREECE		GREECE:  OETYLOS (LACONIA)	  36.750	   22.750	130																								
7442	Tsu	1927	10	24	15	59	 44.8	0	 7.1		 7.1	 7.1				7	USA	AK	ALASKA:  SE ALASKA	  57.690	 -136.070	150								1																
3335	Tsu	1927	11	4	13	50	 43.0	10	 7.3	 7.3	 7.1	 7.3				8	USA	CA	CALIFORNIA:  S:  OFF COAST	  34.813	 -120.774	150								2												2				
6302	Tsu	1927	11	21	23	12	 25.0	33	 7.1		 7.1						CHILE		CHILE:  SOUTHERN	 -44.600	  -73.000	160																								
6303	Tsu	1927	12	28	18	20	 34.2	35	 7.5	 7.5	 7.3						RUSSIA		RUSSIA:  KAMCHATKA	  55.663	  160.039	50																								
3342		1928	2	10	4	39	    	100	 7.7						 7.7		MEXICO		MEXICO:  OAXACA,COLIMA,PUEBLA,GUERRERO,MORELOS	  17.800	  -97.600	150								3																
3346		1928	3	9	18	5	 27.0	33	 8.1		 8.1						INDIAN OCEAN		INDIAN OCEAN:  S	  -2.500	   88.500	60																								
3347		1928	3	16	5	1	    	60	 7.5						 7.5		NEW CALEDONIA		NEW CALEDONIA:  LOYALTY ISLANDS	 -22.000	  170.500	170																								
3348	Tsu	1928	3	22	4	17		60	 7.7		 7.7						MEXICO		MEXICO:  OAXACA	  15.670	  -96.100	150																								
3361		1928	4	16	21	26	 15.0		 7.8		 7.8						MEXICO		MEXICO:  OAXACA	  17.750	  -97.100	150								1												1				
3363		1928	4	18	19	22	 40.0	10	 7.0		 7.0					11	BULGARIA		BULGARIA:  POPOVITSA	  42.100	   25.000	110		3				4		4		4				3				4		4		4		
3367		1928	5	14	22	12	    		 7.3						 7.3	10	PERU		PERU:  CHACAHPOYAS,HUANCABAMBA,CAJAMARCA,PINPINCOS	  -5.000	  -78.000	160	      29	1					       8.000	3																
3368	Tsu	1928	6	15	6	12	 36.0	33	 7.0		 7.0					8	PHILIPPINES		PHILIPPINES:  SW MINDORO	  12.400	  120.900	170								2		2										2		2		
3371	Tsu	1928	6	17	3	19	 33.1	35	 7.7	 7.7	 7.8						MEXICO		MEXICO:  OAXACA	  16.028	  -97.036	150	       4	1						2					       4	1						2				
6080	Tsu	1928	7	18	19	5		70	 7.0		 7.0					6	PERU		PERU	  -5.500	  -79.000	160																								
3376		1928	10	9	3	1	  8.0	60	 7.6		 7.6						MEXICO		MEXICO:  OAXACA	  16.000	  -97.000	150																								
6081	Tsu	1928	11	20	20	35	  7.0	33	 7.1		 7.1						CHILE		CHILE:  NORTHERN	 -22.500	  -70.500	160																								
3378	Tsu	1928	12	1	4	6	 12.0	25	 7.6	 7.6	 8.0					9	CHILE		CHILE:  TALCA, CHILLAN, SANTIAGO, SAN FERNANDO	 -35.000	  -72.000	160	     279	3						3		3			     279	3						3		3		
3380	Tsu	1928	12	19	11	37	 10.0		 7.3		 7.3					7	PHILIPPINES		PHILIPPINES:  COTABATO,N COAST OF ILLANA BAY	   7.000	  124.000	170	      93	2						2		3			      97	2			102	2		2		3		
3381		1929	1	13	0	3	    	140	 7.7						 7.7	7	RUSSIA		RUSSIA:  KURIL ISLANDS	  49.800	  154.800	50																								
3387		1929	2	1	17	14	    	220	 7.1						 7.1		AFGHANISTAN		AFGHANISTAN:  HINDU KUSH	  36.500	   70.500	40								3																
3389	Tsu	1929	3	7	1	34	    	50	 7.8	 7.8	 7.5	 7.9			 8.6	5	USA	AK	ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS	  51.000	 -170.000	150																								
3390		1929	5	1	15	37	 30.0	50	 7.4		 7.4						IRAN		IRAN:  KOPET-DAGH	  37.800	   57.600	140	    3800	4						4																
